Macrotrends Data Download

Seattle WA Murder/Homicide Rate 1999-2018
Original Source: FBI - Crime in the U.S.

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Seattle, WA, US
1999-12-31,8.288,2.9706,5.6922
2000-12-31,6.5454,3.3253,5.5383
2001-12-31,4.368,2.9866,5.6208
2002-12-31,4.4821,3.0328,5.6356
2003-12-31,5.8997,2.9684,5.6838
2004-12-31,4.168,3.061,5.4989
2005-12-31,4.3162,3.2582,5.6457
2006-12-31,5.139,3.0801,5.7813
2007-12-31,4.1017,2.69,5.6786
2008-12-31,4.8489,2.9469,5.4151
2009-12-31,3.6513,2.8511,5.0159
2010-12-31,3.0636,2.2839,4.7593
2011-12-31,3.2352,2.3889,4.7053
2012-12-31,3.6691,3.1471,4.7331
2013-12-31,2.9558,2.3947,4.5242
2014-12-31,3.9191,2.5201,4.4414
2015-12-31,3.364,3.0446,4.9496
2016-12-31,2.7131,2.6782,5.3843
2017-12-31,3.7429,3.0436,5.3188
2018-12-31,4.3083,3.1318,4.9559
