year,county,POP_TOTAL,POP_F_0TO11,POP_F_12TO17,POP_F_18TO39,POP_F_40UP,POP_F_TOTAL,POP_M_0TO11,POP_M_12TO17,POP_M_18TO39,POP_M_40UP,POP_M_TOTAL,SRS_AG_ASSLT,SRS_ARSON,SRS_BURGLARY,SRS_MURDER,SRS_MVT,SRS_RAPE,SRS_ROBBERY,SRS_THEFT,SRS_TOTAL,NIB_ANIMALCR,NIB_ARSON,NIB_ASSAULT,NIB_BRIBERY,NIB_BURGLARY,NIB_DESTPROP,NIB_DRUGVIOL,NIB_EXTORTION,NIB_FORGERY,NIB_FSEX,NIB_GAMBVIOL,NIB_HTRFFCKNG,NIB_KIDNAP,NIB_MNSLGHTR,NIB_MURDER,NIB_NFSEX,NIB_PORN,NIB_PROPTOT,NIB_PROST,NIB_PRSNTOT,NIB_ROBBERY,NIB_SCTYTOT,NIB_THEFT,NIB_TOTAL,NIB_VIOLNCO,NIB_WEAPVIOL,ARR_AG_ASSLT,ARR_ARSON,ARR_BURGLARY,ARR_DRUG_CR,ARR_MURDER,ARR_MVT,ARR_OTHCRIME,ARR_RAPE,ARR_ROBBERY,ARR_THEFT,ARR_TOTAL,ARN_ANIMALCR,ARN_ARSON,ARN_ASSAULT,ARN_BRIBERY,ARN_BURGLARY,ARN_DESTPROP,ARN_DRUGVIOL,ARN_EXTORTION,ARN_FORGERY,ARN_FSEX,ARN_GAMBVIOL,ARN_GROUP_B,ARN_HACKCOMP,ARN_HTRFFCKNG,ARN_KIDNAP,ARN_MNSLGHTR,ARN_MURDER,ARN_NFSEX,ARN_PORN,ARN_PROST,ARN_ROBBERY,ARN_THEFT,ARN_TOTAL,ARN_VIOLNCO,ARN_WEAPVIOL,SCF_ASSAULT,SCF_DRUG_CR,SCF_HOMICIDE,SCF_MVT,SCF_OTHFELON,SCF_PROPCR,SCF_ROBBERY,SCF_SEXCR,SCF_TOTAL,JDP_OTHRADP,JDP_POST_ADP,JDP_PRE_ADP,JDP_CAPACITY,JDP_TOTALADP,JST_ASSAULT,JST_BURGLARY,JST_DRUG_CR,JST_MNSLGHTR,JST_MURDER,JST_OTHCRIME,JST_OTHPROPCR,JST_ROBBERY,JST_SEXCR,JST_TOTAL,JST_UNKNOWN,AJS_ASSAULT,AJS_AVG_SENT,AJS_BURGLARY,AJS_DRUG_CR,AJS_MNSLGHTR,AJS_MURDER,AJS_OTHCRIME,AJS_OTHPROPCR,AJS_ROBBERY,AJS_SEXCR,AJS_UNKNOWN,PDP_NEW_ADM,PDP_OTHER,PDP_PAROLE_V,PDP_READM,PDP_TOTAL,PST_ASSAULT,PST_BURGLARY,PST_DRUG_CR,PST_MNSLGHTR,PST_MURDER,PST_OTHCRIME,PST_OTHPROPCR,PST_ROBBERY,PST_SEXCR,PST_TOTAL,PST_UNKNOWN,APS_ASSAULT,APS_AVG_SENT,APS_BURGLARY,APS_DRUG_CR,APS_MNSLGHTR,APS_MURDER,APS_OTHCRIME,APS_OTHPROPCR,APS_ROBBERY,APS_SEXCR,APS_UNKNOWN,JRR_AG_ASSLT,JRR_ARSON,JRR_BURGLARY,JRR_DRUG_CR,JRR_MURDER,JRR_MVT,JRR_OTHFELCRIME,JRR_RAPE,JRR_ROBBERY,JRR_THEFT,JRR_TOTAL,JRN_ANIMALCR,JRN_ARSON,JRN_ASSAULT,JRN_BRIBERY,JRN_BURGLARY,JRN_DESTPROP,JRN_DRUGVIOL,JRN_EXTORTION,JRN_FORGERY,JRN_FSEX,JRN_GROUP_B,JRN_HACKCOMP,JRN_KIDNAP,JRN_MNSLGHTR,JRN_MURDER,JRN_NFSEX,JRN_PORN,JRN_PROST,JRN_ROBBERY,JRN_THEFT,JRN_TOTAL,JRN_VIOLNCO,JRN_WEAPVIOL,JAD_DOC_ADM,JAD_NEW_ADM,JAD_READM,JAD_PAROLE_R,JAD_TOTAL,JUV_ARSON,JUV_ASSAULT,JUV_BURGLARY,JUV_DRUG_CR,JUV_HOMICIDE,JUV_KIDNAP,JUV_MVCR,JUV_OBSGOV,JUV_OTHER,JUV_OTHPROPCR,JUV_PUBDIST,JUV_SEXCR,JUV_TOTAL,JUV_WEAPVIOL,MIN_ARSON,MIN_ASSAULT,MIN_AVG_MIN_DISP,MIN_BURGLARY,MIN_DRUG_CR,MIN_HOMICIDE,MIN_KIDNAP,MIN_MVCR,MIN_OBSGOV,MIN_OTHER,MIN_OTHPROPCR,MIN_PUBDIST,MIN_SEXCR,MIN_WEAPVIOL,MAX_ARSON,MAX_ASSAULT,MAX_AVG_MAX_DISP,MAX_BURGLARY,MAX_DRUG_CR,MAX_HOMICIDE,MAX_KIDNAP,MAX_MVCR,MAX_OBSGOV,MAX_OTHER,MAX_OTHPROPCR,MAX_PUBDIST,MAX_SEXCR,MAX_WEAPVIOL
1990,ADAMS,13603,1547,716,2015,2467,6745,1625,761,2067,2405,6858,80,3,136,3,20,14,4,464,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,10,27,1,1,1288,1,1,54,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,3,0,41,51,1,10,151,1,10,6,20,17,8,6,25,1,0,4,19,1,4,68,0,1.6,1.9,3.5,1.4,3,0,1.7,1.7,3,3.1,0,11,0,1,1,12,2,2,3,0,0,1,0,1,3,12,0,18.4,23.7,20,16.3,0,0,14,0,51,31.3,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1991,ADAMS,13798,1582,725,2027,2488,6827,1666,779,2101,2425,6971,52,0,143,0,24,6,2,516,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,12,45,1,4,1365,6,0,72,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,0,0,31,47,0,13,155,3,11,9,20,23,5,9,21,0,0,6,15,0,4,60,0,3,1.7,2,1.4,0,0,2.4,1.5,0,1.7,0,6,0,4,2,8,2,0,0,0,2,2,1,0,1,8,0,17.5,97.1,0,0,0,340.5,14.5,12,0,20,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1992,ADAMS,14143,1631,749,2061,2542,6985,1722,808,2152,2475,7158,28,9,171,2,38,13,2,561,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,25,45,1,7,962,11,0,110,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,47,3,0,39,71,1,12,183,4,6,7,20,17,8,4,25,0,0,8,27,0,4,76,0,2.1,2.1,2.3,1.5,0,0,3.7,1.9,0,3.5,0,5,0,3,0,5,2,2,2,0,0,0,1,0,1,8,0,14.5,18.3,16.5,23.5,0,0,0,17,0,20,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1993,ADAMS,14535,1677,778,2095,2611,7167,1776,845,2207,2539,7368,45,6,141,0,33,3,3,660,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,6,37,0,10,915,2,4,126,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34,2,0,29,57,3,12,156,3,6,8,20,17,11,13,19,0,0,4,20,0,2,69,0,3.8,2.8,4.8,1.3,0,0,2,2.4,0,3.1,0,10,0,0,2,12,0,3,2,0,0,0,1,1,4,11,0,0,54.3,37,27.5,0,0,0,14,41,94,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1994,ADAMS,15006,1731,809,2142,2704,7389,1836,887,2274,2620,7617,57,7,132,0,54,5,5,628,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,12,37,0,6,899,5,4,47,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,3,0,21,39,4,11,129,4,7,6,20,17,9,2,24,1,0,4,30,2,1,73,0,3,2.4,7.5,2.4,3,0,1.9,2.2,0.7,2,0,7,0,0,4,11,2,1,2,1,1,1,4,0,2,14,0,32.5,50.2,24.8,32.5,27,164,17,18,0,134,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1995,ADAMS,15366,1764,836,2174,2778,7555,1874,924,2323,2685,7811,34,3,150,4,35,5,3,733,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,23,38,2,4,939,1,1,134,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,2,0,33,59,0,6,164,5,5,7,20,17,8,1,15,1,0,3,10,0,0,38,0,2.8,1.9,3,1.6,3,0,2.3,1.3,0,0,0,6,0,1,2,8,2,3,2,0,0,0,0,0,4,11,0,18.5,34.7,31,22,0,0,0,0,0,52,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1996,ADAMS,15674,1786,860,2199,2845,7696,1902,960,2366,2746,7978,42,11,142,1,43,6,5,653,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,20,59,1,3,883,4,5,77,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,38,1,0,23,34,2,12,135,6,6,10,20,22,15,7,25,0,0,2,25,0,1,75,0,2.8,2,3,1.7,0,0,3,1.5,0,1,0,15,0,0,5,20,4,4,5,1,1,2,4,1,4,26,0,18,44.8,24.3,27.2,60,387,12,13,41,73.8,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1997,ADAMS,15989,1815,878,2231,2915,7841,1939,987,2418,2801,8148,46,8,185,1,36,9,2,479,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,14,55,0,3,787,2,0,54,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,43,0,0,40,50,0,5,160,6,6,8,20,20,8,4,19,0,0,5,15,0,0,51,0,3.6,2.5,6.8,1.8,0,0,3.4,1.3,0,0,0,22,0,0,6,28,6,3,14,1,0,0,3,0,4,31,0,35.8,42.3,21,19.9,54,0,0,13.7,0,164.8,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1998,ADAMS,16091,1816,876,2233,2949,7880,1943,994,2442,2829,8211,32,15,205,0,37,10,5,447,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,26,46,0,8,786,3,5,36,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,0,0,28,55,5,2,147,1,8,14,28,23,14,6,17,0,0,7,27,1,1,73,0,3,2.2,1.7,1.8,0,0,3.6,1.7,6,1,0,13,0,1,8,21,4,6,5,0,0,2,8,2,1,28,0,29.3,22.7,21.2,22.4,0,0,19.5,21.8,23,20,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1999,ADAMS,16190,1815,873,2246,2981,7918,1945,998,2473,2853,8272,42,6,168,1,26,4,4,411,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,28,45,0,2,689,0,0,29,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,3,0,12,55,0,10,140,1,10,11,28,22,7,3,8,0,0,6,12,0,1,37,0,5.6,2.6,2.3,2.4,0,0,1.6,1.7,0,1,0,12,0,0,4,16,6,8,5,0,0,1,1,0,2,23,0,23.5,31.8,29.9,18,0,0,43,12,0,103,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
